bangumiId,kind,lang,title,content
1,primary,zh-CN,遭到流放的转生重骑士凭借游戏知识大开无双,《遭到流放的转生重骑士凭借游戏知识大开无双》讲述一名重度游戏玩家的普通青年，在转生到异世界后成为一名重装骑士，却因种种误会与政治算计被逐出王都的冒险故事。主角凭借前世在无数游戏中学到的丰富知识与战术素养，在充满魔物、恶人与阴谋的异世界独自闯荡，用看似笨拙却极为可靠的重装战斗方式一次次化解危机。他既会活用地图机制、怪物弱点与道具搭配，也会用经营与统筹思维为自己铺路，从被轻视的流放者逐渐成长为令人刮目相看的传奇骑士。作品融合异世界转生、游戏攻略与轻松幽默的日常，节奏明快，主角冷静的判断与反差萌为故事增添了不少趣味，是一部让观众看得过瘾的爽文式冒险动画。
2,primary,zh-CN,飙马野郎 JOJO的奇妙冒险,《飙马野郎》是《JOJO的奇妙冒险》系列第七部作品，故事设定在1890年的美国西部。为了争夺传说中能让死者复生的圣者遗体，多支人马竞相参加一场横贯大陆的超级赛马大赛。主角乔尼·乔斯达曾是一名天才骑手，却因故双腿瘫痪，在神秘选手杰洛·齐贝林帮助下踏上征途，同时被卷入围绕遗体的多方争夺战。作品以赛马竞技与替身能力为核心，融合西部片风格、侦探悬疑与系列一贯的智斗热血，乔尼与杰洛在残酷旅途中的互相扶持、成长与自我救赎令人动容，被许多读者誉为JOJO系列的巅峰之作。
3,primary,zh-CN,THE WORLD IS DANCING 世界在起舞,《THE WORLD IS DANCING 世界在起舞》是一部以舞蹈为主题的原创动画，描绘在世界各地以舞蹈连接人心的故事。作品围绕一群热爱舞蹈的年轻人展开，他们通过不同风格、不同地域的舞步传递情感与梦想，突破语言与文化的隔阂，让陌生人在节奏中相遇、相知。动画以绚丽的画面、富有感染力的节奏与多样的舞蹈形式，展现舞蹈作为世界共通语言的魅力，融合青春、友情与自我表达的主题，营造出充满活力与想象力的视听体验。观众能在片中感受到舞蹈带来的快乐与治愈，以及少年少女们追逐热爱时的纯粹光芒。
4,primary,zh-CN,哆啦A梦,《哆啦A梦》是家喻户晓的经典科幻喜剧动画。来自22世纪的猫型机器人哆啦A梦，被派往现代帮助总是遇到麻烦的小学生野比大雄。他通过四次元口袋中的各种神奇道具为大雄解决难题，却常常弄巧成拙，引发一连串爆笑而温馨的故事。作品在欢乐的日常中融入友情、亲情与成长的主题，刻画大雄与静香、胖虎、小夫等伙伴们的童年生活，用一个个充满想象力的道具冒险教导孩子们勇敢、善良与坚持梦想。这部陪伴几代人成长的国民级动画，承载着无数人的童年回忆，传递着温暖与正能量。
5,primary,zh-CN,她和她的猫 -Everything Flows-,《她和她的猫 -Everything Flows-》改编自新海诚的早期短片，以一只流浪黑猫的视角展开叙述。黑猫被女孩收养后，以猫的独特观察讲述女孩独自生活的孤独、坚强与不为人知的柔软。故事细腻描绘猫与主人之间无声的陪伴与理解，用优雅的画面和诗意的旁白，呈现都市生活中人与宠物相互依存的温情。全片节奏舒缓、情感克制，通过猫眼中的四季流转、窗外风景与日常点滴，传达出关于孤独、羁绊、治愈与生命尊严的深刻思考，是一部安静而隽永的治愈短片，适合在忙碌之余静心观看。
6,primary,zh-CN,潮与虎 第二季,《潮与虎》第二季改编自藤田和日郎的同名热血漫画，讲述少年苍月潮与上古妖怪阿虎之间亦敌亦友的冒险。潮自幼握着父亲留下的兽矛，拥有驱退妖怪的力量；阿虎则是被兽矛封印千年的强大妖怪。两人因命运相连而结伴同行，在与形形色色的妖怪及幕后黑手的战斗中逐渐成长、彼此信赖。第二季剧情推进至与宿敌白面者的最终对决，横跨现代与古代的巨大阴谋层层揭开。作品以热血震撼的打斗、深厚的友情与亲情羁绊著称，潮与阿虎从对立到互相托付生命的成长过程极具感染力，是妖怪战斗题材的经典代表作。
7,primary,zh-CN,宇宙巡警露露子,《宇宙巡警露露子》是TRIGGER制作的原创短篇动画，讲述宇宙巡警露露子充满爆笑的冒险。露露子是宇宙巡警署长的女儿，天生正义感爆棚又冲动冒失，经常闹出各种乌龙事件。她在与伙伴们共同对抗宇宙罪犯的过程中，却在一次任务里爱上了罪犯的儿子，从此陷入正义与恋爱的两难。作品以夸张的演出、高速的节奏和层出不穷的恶搞致敬元素著称，将热血、无厘头与少女心巧妙融合，打造出一部天马行空、笑点密集、节奏极快的搞笑科幻作品，短短几十秒就能让观众捧腹。
8,primary,zh-CN,迷家,《迷家》是水岛努执导的原创悬疑动画。三十名性格各异的男女，各自怀抱着逃避现实的动机，聚集到一座被称为纳鸣村的废弃村庄参加神秘集体活动。随着调查深入，村庄的诡异真相逐渐浮出水面：神秘的巨大怪物、村民失踪的旧事，以及每个人极力隐藏的过去，在冲突与猜疑中一一揭开。作品围绕集体心理、乌托邦幻象与人性幽暗展开，以压抑的悬疑氛围与群像刻画见长，探讨人们在逃避现实时内心的恐惧、伪装与救赎，是一部让人细思极恐的心理悬疑作品。
9,primary,zh-CN,影鳄 承,《影鳄 承》是短篇恐怖动画《影鳄》的第二季，延续第一季构建的世界观。主人公在调查一系列离奇失踪与死亡事件时，发现某种被称为影鳄的神秘存在正悄然吞噬人类，其来源与古代传说息息相关。本季故事更加深入地揭示影鳄的起源真相，以及与事件背后组织相关的阴谋。作品以冷峻的色调、紧凑的篇幅与层层递进的谜团，营造出压抑窒息的恐怖氛围，将都市怪谈、科学调查与超自然元素结合，在有限的篇幅内不断抛出悬念，让观众在细思极恐中欲罢不能。
10,primary,zh-CN,JOJO的奇妙冒险 不灭钻石,《JOJO的奇妙冒险 不灭钻石》是系列第四部，舞台从埃及转移到宁静的日本小镇杜王町。1999年，东方仗助作为乔斯达家族的一员回到故乡，却意外卷入一连串由替身能力者引发的诡异事件。为揪出拥有替身能力的连环杀手吉良吉影，仗助与康一、亿泰、露伴等伙伴展开调查与对决。本作在保留系列热血智斗的基础上，融入小镇日常的轻松氛围与荒诞幽默，塑造了众多个性鲜明的角色，替身能力的设定与对决设计尤为精巧，结尾一战堪称经典。
